2024-05-21 00:13:02,390 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,462 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1081e-01, 8.1762e-05, 6.7900e-01, 3.6258e-01])
2024-05-21 00:13:02,462 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,463 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,464 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,467 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5095, 0.0566, 0.5620, 0.2267])
2024-05-21 00:13:02,467 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,467 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,468 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,540 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1086e-01, 9.9977e-05, 6.7934e-01, 3.6239e-01])
2024-05-21 00:13:02,540 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,541 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,542 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,544 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5094, 0.0568, 0.5615, 0.2270])
2024-05-21 00:13:02,544 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,545 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,545 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,615 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1088e-01, 5.7379e-05, 6.7868e-01, 3.6226e-01])
2024-05-21 00:13:02,616 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,620 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,622 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,626 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5092, 0.0570, 0.5611, 0.2271])
