2024-05-21 00:38:12,570 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3489e+02, 4.1916e-02, 4.3453e+02, 1.7403e+02])
2024-05-21 00:38:12,572 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,575 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,579 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,584 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([326.6027,  27.3304, 360.1466, 109.2611])
2024-05-21 00:38:12,589 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,592 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,595 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,699 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3487e+02, 4.4296e-02, 4.3452e+02, 1.7401e+02])
2024-05-21 00:38:12,707 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,711 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,713 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,719 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([326.5099,  27.3317, 359.9933, 109.1634])
2024-05-21 00:38:12,729 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,732 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,733 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,850 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3492e+02, 3.9246e-02, 4.3456e+02, 1.7404e+02])
2024-05-21 00:38:12,858 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,860 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,861 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
